timestep(hours);damand elec (kWh)
1;29.11875313
2;28.09415233
3;27.06553348
4;26.61953077
5;26.79632464
6;26.04495071
7;24.53014874
8;25.34581134
9;26.11727548
10;0.02787316
11;30.05897505
12;32.72293715
13;32.61043196
14;31.72646264
15;31.35680274
16;31.65815592
17;34.18952262
18;36.33917529
19;3.65481135
20;35.96951539
21;33.59887039
22;31.88718434
23;3.12483156
24;28.78123757
25;26.51104363
26;24.95204319
27;24.39353529
28;24.77926736
29;25.88021098
30;26.63962099
31;2.70012448
32;2.97978023
33;32.82740625
34;36.37935572
35;3.84165032
36;40.29694704
37;39.83085412
38;37.96246442
39;3.83120341
40;38.62142337
41;40.57419196
42;42.51088839
43;43.37878554
44;43.09752258
45;40.81929255
46;38.51293622
47;37.44815499
48;35.79673957
49;33.86406119
50;32.38943963
51;32.24077206
52;3.20639782
53;31.88316629
54;30.96705263
55;29.58484605
56;31.14384649
57;33.56270801
58;36.09407471
59;3.83682867
60;41.04430292
61;39.18796734
62;37.18296419
63;37.11063943
64;38.20354696
65;40.46168678
66;42.48276209
67;44.04176254
68;42.80420548
69;40.95590599
70;39.23618385
71;37.77763447
72;3.54672601
73;34.50694797
74;33.95245812
75;3.32493007
76;32.85151451
77;33.41805848
78;35.66414417
79;40.72687757
80;4.64083895
81;47.81068629
82;48.36517614
83;48.25668899
84;49.03217117
85;48.94377424
86;4.78589028
87;47.61782026
88;47.60576613
89;48.69063757
90;50.92868718
91;51.11351713
92;50.13311479
93;47.12360104
94;44.20650227
95;42.98501739
96;39.66209634
97;37.61289473
98;36.68874498
99;35.84897412
100;36.46775265
101;37.05036879
102;39.16787713
103;43.25020819
104;48.50178958
105;50.08891632
106;50.63135204
107;51.21798623
108;52.12606381
109;50.93270522
110;50.06079002
111;49.55853473
112;49.49424605
113;50.32598082
114;51.02110215
115;51.27825687
116;51.52737549
117;48.51384371
118;4.50904716
119;43.72031915
120;40.92777969
121;39.01920956
122;37.73745404
123;37.23921679
124;37.53655192
125;37.71334579
126;39.41297771
127;42.71982659
128;47.60174809
129;49.60273319
130;50.05677198
131;5.04183958
132;50.60322575
133;50.24160193
134;49.79158118
135;49.02413509
136;48.39732048
137;46.09900024
138;45.82577335
139;50.94074131
140;50.63537008
141;47.43299031
142;44.89358752
143;43.12966692
144;40.24471249
145;38.75401876
146;37.96648246
147;36.71687128
148;36.99009816
149;37.73745404
150;39.51342877
151;44.11810534
152;48.93172011
153;49.68711208
154;49.83176161
155;50.67555051
156;51.28227491
157;50.74385723
158;49.77550901
159;49.38977695
160;48.88350361
161;50.16927717
162;52.16222619
163;52.53590413
164;51.42692443
165;48.07587709
166;44.67259519
167;43.16181126
168;39.74245719
