timestep(hours);demand hot water (kWh)
1;14.55937657
2;14.04707616
3;13.53276674
4;13.30976539
5;13.39816232
6;13.02247536
7;12.26507437
8;12.67290567
9;13.05863774
10;0.01393658
11;15.02948753
12;16.36146858
13;16.30521598
14;15.86323132
15;15.67840137
16;15.82907796
17;17.09476131
18;18.16958765
19;18.27405675
20;1.79847577
21;16.79943519
22;15.94359217
23;1.56241578
24;14.39061879
25;13.25552181
26;12.47602159
27;12.19676765
28;12.38963368
29;12.94010549
30;13.31981049
31;1.35006224
32;14.89890115
33;16.41370313
34;18.18967786
35;1.92082516
36;20.14847352
37;19.91542706
38;18.98123221
39;19.15601705
40;19.31071168
41;20.28709598
42;2.12554442
43;21.68939277
44;21.54876129
45;20.40964627
46;19.25646811
47;1.87240775
48;17.89836979
49;16.93203059
50;16.19471982
51;16.12038603
52;1.60319891
53;15.94158315
54;15.48352631
55;14.79242303
56;15.57192325
57;0.16781354
58;18.04703735
59;19.18414335
60;20.52215146
61;19.59398367
62;1.85914821
63;18.55531972
64;19.10177348
65;20.23084339
66;21.24138105
67;22.02088127
68;21.40210274
69;20.47795299
70;19.61809192
71;18.88881723
72;17.73363005
73;17.25347398
74;16.97622906
75;16.62465035
76;16.42575725
77;16.70902924
78;17.83207209
79;20.36343879
80;23.20419475
81;23.90534315
82;24.18258807
83;2.41283445
84;24.51608559
85;24.47188712
86;2.39294514
87;23.80891013
88;23.80288306
89;24.34531879
90;25.46434359
91;25.55675856
92;25.06655739
93;23.56180052
94;22.10325114
95;2.14925087
96;19.83104817
97;18.80644736
98;18.34437249
99;17.92448706
100;18.23387632
101;1.85251844
102;19.58393856
103;21.62510409
104;24.25089479
105;25.04445816
106;25.31567602
107;25.60899311
108;2.60630319
109;25.46635261
110;25.03039501
111;24.77926736
112;24.74712302
113;25.16299041
114;25.51055108
115;25.63912843
116;25.76368775
117;24.25692185
118;2.25452358
119;21.86015957
120;20.46388985
121;19.50960478
122;18.86872702
123;18.61960839
124;18.76827596
125;18.85667289
126;19.70648886
127;2.13599133
128;23.80087404
129;2.48013666
130;25.02838599
131;2.52091979
132;25.30161287
133;25.12080097
134;24.89579059
135;24.51206754
136;24.19866024
137;23.04950012
138;22.91288668
139;25.47037065
140;25.31768504
141;23.71649515
142;22.44679376
143;21.56483346
144;20.12235624
145;19.37700938
146;18.98324123
147;18.35843564
148;18.49504908
149;18.86872702
150;19.75671439
151;22.05905267
152;24.46586006
153;24.84355604
154;2.49158808
155;25.33777525
156;25.64113745
157;25.37192861
158;24.88775451
159;24.69488847
160;2.44417518
161;25.08463858
162;26.08111309
163;26.26795207
164;25.71346222
165;24.03793854
166;2.23362976
167;21.58090563
168;19.87122859
