timestep(hours);capacity factor
1;0
2;0
3;0
4;0
5;0.006
6;0.0528
7;0.1212
8;0.2207
9;0.3154
10;0.3496
11;0.3851
12;0.4149
13;0.435
14;0.4154
15;0.3746
16;0.3101
17;0.2058
18;0.1209
19;0.0568
20;0.0121
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0.0058
30;0.0512
31;0.1197
32;0.1995
33;0.2955
34;0.3741
35;0.419
36;0.4399
37;0.4395
38;0.4146
39;0.3765
40;0.3184
41;0.2385
42;0.1504
43;0.0717
44;0.0155
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0.0033
54;0.0359
55;0.1049
56;0.1905
57;0.2478
58;0.3407
59;0.3918
60;0.4098
61;0.419
62;0.4041
63;0.3525
64;0.2785
65;0.178
66;0.098
67;0.0487
68;0.0097
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0.0059
78;0.0563
79;0.1268
80;0.2056
81;0.2997
82;0.3807
83;0.4154
84;0.4186
85;0.377
86;0.3178
87;0.2828
88;0.2591
89;0.1938
90;0.1238
91;0.057
92;0.0104
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0.0059
102;0.0588
103;0.1377
104;0.229
105;0.3149
106;0.3816
107;0.4191
108;0.4058
109;0.3463
110;0.2697
111;0.2064
112;0.16
113;0.1144
114;0.079
115;0.0417
116;0.0077
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0.0018
126;0.0311
127;0.0852
128;0.1572
129;0.2362
130;0.2988
131;0.3411
132;0.3599
133;0.3697
134;0.4012
135;0.3803
136;0.31
137;0.2265
138;0.1381
139;0.0583
140;0.0094
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0.004
150;0.0515
151;0.1263
152;0.2147
153;0.3015
154;0.3726
155;0.4204
156;0.4447
157;0.4415
158;0.4065
159;0.3314
160;0.2476
161;0.1207
162;0.0642
163;0.0273
164;0.0032
165;0
166;0
167;0
168;0
